INFO 2025-05-20 13:32:18,315 autoreload Watching for file changes with StatReloader
INFO 2025-05-20 13:42:11,953 autoreload Watching for file changes with StatReloader
INFO 2025-05-20 13:42:51,506 autoreload Watching for file changes with StatReloader
WARNING 2025-05-20 13:43:01,235 log Not Found: /
WARNING 2025-05-20 13:43:01,237 basehttp "GET / HTTP/1.1" 404 2314
WARNING 2025-05-20 13:43:01,314 log Not Found: /favicon.ico
WARNING 2025-05-20 13:43:01,315 basehttp "GET /favicon.ico HTTP/1.1" 404 2365
INFO 2025-05-20 13:49:29,895 autoreload Watching for file changes with StatReloader
INFO 2025-05-20 13:49:42,256 basehttp "GET /admin/ HTTP/1.1" 302 0
INFO 2025-05-20 13:49:42,292 basehttp "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4178
INFO 2025-05-20 13:49:42,396 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
INFO 2025-05-20 13:49:42,398 basehttp "GET /static/admin/css/login.css HTTP/1.1" 200 951
INFO 2025-05-20 13:49:42,398 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2808
INFO 2025-05-20 13:49:42,399 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2025-05-20 13:49:42,399 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 200 16565
INFO 2025-05-20 13:49:42,401 basehttp "GET /static/admin/css/base.css HTTP/1.1" 200 22120
INFO 2025-05-20 13:49:43,285 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2025-05-20 13:52:57,218 autoreload Watching for file changes with StatReloader
INFO 2025-05-20 13:53:56,802 basehttp "GET /admin/ HTTP/1.1" 302 0
INFO 2025-05-20 13:53:56,832 basehttp "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4178
INFO 2025-05-20 13:53:56,901 basehttp "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2025-05-20 13:53:56,913 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2025-05-20 13:53:56,914 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2025-05-20 13:53:56,914 basehttp "GET /static/admin/css/login.css HTTP/1.1" 304 0
INFO 2025-05-20 13:53:56,916 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2025-05-20 13:53:56,916 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2025-05-20 13:53:56,931 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2025-05-20 13:54:20,163 basehttp "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4354
